"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"25.04.2026 08:30:15";"25.04.2026";"*4521";"OK";"11000,00";"RUB";"11000,00";"RUB";"";"Зарплата";"";"Зачисление зарплаты";"0,00";"0,00";"11000,00"
"25.04.2026 09:12:33";"25.04.2026";"*7890";"OK";"-2200,00";"RUB";"-2200,00";"RUB";"22,00";"Супермаркеты";"5411";"Перекрёсток";"22,00";"0,00";"-2200,00"
"25.04.2026 09:12:10";"25.04.2026";"*4521";"OK";"-2200,00";"RUB";"-2200,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-2200,00"
"25.04.2026 09:12:09";"25.04.2026";"*7890";"OK";"2200,00";"RUB";"2200,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"2200,00"
"25.04.2026 11:05:44";"25.04.2026";"*3456";"OK";"-890,00";"RUB";"-890,00";"RUB";"8,00";"Рестораны";"5812";"IL Патио";"8,00";"0,00";"-890,00"
"25.04.2026 12:30:00";"25.04.2026";"*4521";"OK";"2500,00";"RUB";"2500,00";"RUB";"";"Переводы";"";"Иван И.";"0,00";"0,00";"2500,00"
"25.04.2026 14:15:27";"25.04.2026";"*7890";"OK";"-1350,00";"RUB";"-1350,00";"RUB";"13,00";"Авиабилеты";"3001";"S7 Airlines";"13,00";"0,00";"-1350,00"
"25.04.2026 14:15:03";"25.04.2026";"*4521";"OK";"-1350,00";"RUB";"-1350,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1350,00"
"25.04.2026 14:15:02";"25.04.2026";"*7890";"OK";"1350,00";"RUB";"1350,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1350,00"
"25.04.2026 16:40:18";"25.04.2026";"*3456";"OK";"-210,00";"RUB";"-210,00";"RUB";"2,00";"Фастфуд";"5814";"Вкусно — и точка";"2,00";"0,00";"-210,00"
;"25.04.2026";"*4521";"OK";"-95,00";"RUB";"-95,00";"RUB";"RUB";"Местный транспорт";"4111";"Московский метрополитен";"0,00";"0,00";"-95,00"
"25.04.2026 20:10:05";"25.04.2026";"*7890";"OK";"-480,00";"";"-480,00";"RUB";"4,00";"Цифровые товары";"5816";"Steam";"4,00";"0,00";"-480,00"
"26.04.2026 09:45:22";"26.04.2026";"*3456";"OK";"-3600,00";"RUB";"-3600,00";"RUB";"36,00";"Экосистема Яндекс";"3990";"Яндекс.Такси";"36,00";"0,00";"-3600,00"
"26.04.2026 09:45:01";"26.04.2026";"*4521";"OK";"-3600,00";"RUB";"-3600,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-3600,00"
"26.04.2026 09:44:59";"26.04.2026";"*3456";"OK";"3600,00";"RUB";"3600,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"3600,00"
"26.04.2026 11:20:10";"26.04.2026";"*7890";"OK";"-1250,00";"RUB";"-1250,00";"RUB";"12,00";"Ж/д билеты";"4111";"РЖД";"12,00";"0,00";"-1250,00"
"26.04.2026 13:55:42";"26.04.2026";"*4521";"OK";"-670,00";"RUB";"-670,00";"RUB";"6,00";"Заправки";"5541";"Газпромнефть";"6,00";"0,00";"-670,00"
"26.04.2026 15:30:17";"26.04.2026";"*3456";"OK";"-160,00";"RUB";"-160,00";"RUB";"1,00";"Кино";"7832";"Киномакс";"1,00";"0,00";"-160,00"
"26.04.2026 17:05:08";"26.04.2026";"*7890";"OK";;"RUB";"-340,00";"RUB";"3,00";"Супермаркеты";"5411";"Магнит";"3,00";"0,00";"-340,00"
"26.04.2026 17:04:47";"26.04.2026";"*4521";"OK";"-340,00";"RUB";"-340,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-340,00"
"26.04.2026 17:04:46";"26.04.2026";"*7890";"OK";"340,00";"RUB";"340,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"340,00"
"26.04.2026 19:25:55";"26.04.2026";"*4521";"OK";"-180,00";"RUB";"-180,00";"RUB";"1,00";"Рестораны";"5812";"Тануки";"1,00";"0,00";"-180,00"
"27.04.2026 08:10:30";"27.04.2026";"*3456";"OK";"-85,00";"RUB";"-85,00";"RUB";"";"Местный транспорт";"4111";"Мосгортранс";"0,00";"0,00";"-85,00"
"27.04.2026 10:25:18";"27.04.2026";"*4521";"OK";"1500,00";"RUB";"1500,00";"RUB";"";"Переводы";"";"Ольга В.";"0,00";"0,00";"1500,00"
"27.04.2026 11:45:33";"27.04.2026";"*7890";"OK";"-490,00";"RUB";"-490,00";"RUB";"4,00";"Одежда и обувь онлайн";"5651";"Wildberries";"4,00";"0,00";"-490,00"
"27.04.2026 13:12:44";"27.04.2026";"*3456";"OK";"-2150,00";"RUB";"-2150,00";"RUB";"21,00";"Экосистема Яндекс";"3990";"Яндекс.Еда";"21,00";"0,00";"-2150,00"
"27.04.2026 15:05:00";"27.04.2026";"*4521";"OK";"";"RUB";"-8000,00";"RUB";"";"Инвестиции";"";"Пополнение брокерского счета";"0,00";"0,00";"-8000,00"
"";"27.04.2026";"*7890";"OK";"-110,00";"RUB";"-110,00";"RUB";"";"Различные товары";"5311";"OZON";"0,00";"0,00";"-110,00"
"27.04.2026 18:33:07";"27.04.2026";"*3456";"OK";"-350,00";"RUB";"-350,00";"RUB";"3,00";"Фастфуд";"5814";"Burger King";"3,00";"0,00";"-350,00"
"27.04.2026 20:45:22";"27.04.2026";"";"OK";"36,42";"RUB";"36,42";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"36,42"
"28.04.2026 09:00:00";"28.04.2026";"*4521";"OK";"-1200,00";"RUB";"-1200,00";"";"";"Переводы";"";"Дмитрий М.";"0,00";"0,00";"-1200,00"
"28.04.2026 10:35:14";"28.04.2026";"*7890";"OK";"-1780,00";"RUB";"-1780,00";"RUB";"17,00";"Супермаркеты";"5411";"Лента";"17,00";"0,00";"-1780,00"
"28.04.2026 10:35:01";"28.04.2026";"*3456";"OK";"-1780,00";"RUB";"-1780,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1780,00"
"28.04.2026 10:35:00";"28.04.2026";"*7890";"OK";"1780,00";"RUB";"1780,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1780,00"
"28.04.2026 12:15:23";"28.04.2026";"*4521";"OK";"-230,00";"RUB";"-230,00";;"2,00";"Рестораны";"5812";"Кофемания";"2,00";"0,00";"-230,00"
"28.04.2026 14:40:17";"28.04.2026";"*3456";"OK";"-95,00";"RUB";"-95,00";"RUB";"";"Местный транспорт";"4111";"Московский метрополитен";"0,00";"0,00";"-95,00"
"28.04.2026 16:55:05";"28.04.2026";"*7890";"OK";"-360,00";"RUB";"-360,00";"RUB";"3,00";"Цифровые товары";"5816";"Google Play";"3,00";"0,00";"-360,00"
"28.04.2026 18:10:42";"28.04.2026";"*4521";"OK";"500,00";"RUB";"500,00";"RUB";"";"Переводы";"";"Вывод с брокерского счета";"0,00";"0,00";"500,00"
"28.04.2026 20:22:11";"28.04.2026";"*3456";"OK";"-430,00";"RUB";"-430,00";"RUB";"4,00";"Заправки";"5541";"Лукойл";"4,00";"0,00";"-430,00"
"29.04.2026 08:15:30";"29.04.2026";"*4521";"OK";"4000,00";"RUB";"4000,00";"RUB";"";"Переводы";"";"Анна К.";"0,00";"0,00";"4000,00"
"29.04.2026 09:50:44";"29.04.2026";"*7890";"OK";"-520,00";"RUB";"-520,00";"RUB";"5,00";;"5812";"Кофе Хауз";"5,00";"0,00";"-520,00"
"29.04.2026 11:25:13";"29.04.2026";"*3456";"OK";"-1850,00";"RUB";"-1850,00";"RUB";"18,00";"";"3001";"Победа";"18,00";"0,00";"-1850,00"
"29.04.2026 13:40:00";"29.04.2026";"*4521";"OK";"-6000,00";"RUB";"-6000,00";"RUB";"";"Инвестиции";"";"Пополнение брокерского счета";"0,00";"0,00";"-6000,00"
"29.04.2026 15:15:22";"29.04.2026";"*7890";"OK";"-78,00";"RUB";"-78,00";"RUB";"";"Местный транспорт";"4111";"Петербургский метрополитен";"0,00";"0,00";"-78,00"
"29.04.2026 17:00:48";"29.04.2026";"*3456";"OK";"-245,00";"RUB";"-245,00";"RUB";"2,00";"Фастфуд";"5814";"KFC";"2,00";"0,00";"-245,00"
"29.04.2026 18:30:17";"29.04.2026";"*4521";"OK";"-150,00";"RUB";"-150,00";"RUB";"1,00";"Различные товары";"5311";"Wildberries";"1,00";"0,00";"-150,00"
"29.04.2026 20:05:39";"29.04.2026";"";"OK";"41,55";"RUB";"41,55";"RUB";"";"Бонусы";"";"Зачисление кэшбэка";"0,00";"0,00";"41,55"
"30.04.2026 09:20:10";"30.04.2026";"*4521";"OK";"-2500,00";"RUB";"-2500,00";"RUB";"";"Переводы";"";"Юлия М.";"0,00";"0,00";"-2500,00"
"30.04.2026 10:45:55";"30.04.2026";"*7890";"OK";"-870,00";"RUB";"-870,00";"RUB";"8,00";"Супермаркеты";"5411";"Азбука вкуса";"8,00";"0,00";"-870,00"
"30.04.2026 12:10:30";"30.04.2026";"*3456";"OK";"-1950,00";"RUB";"-1950,00";"RUB";"19,00";"Экосистема Яндекс";"3990";"Яндекс.Плюс";"19,00";"0,00";"-1950,00"
"30.04.2026 14:33:07";"30.04.2026";"*4521";"OK";"-560,00";"RUB";"-560,00";"RUB";"5,00";"Заправки";"5541";"Shell";"5,00";"0,00";"-560,00"
"30.04.2026 16:00:00";"30.04.2026";"*7890";"OK";"-190,00";"RUB";"-190,00";"RUB";"1,00";"Кино";"7832";"Синема Парк";"1,00";"0,00";"-190,00"
"30.04.2026 17:45:22";"30.04.2026";"*3456";"OK";"-400,00";"RUB";"-400,00";"RUB";"4,00";"Одежда и обувь";"5691";"H&M";"4,00";"0,00";"-400,00"
"30.04.2026 19:20:44";"30.04.2026";"*4521";"OK";"700,00";"RUB";"700,00";"RUB";"";"Переводы";"";"";"0,00";"0,00";"700,00"
"01.05.2026 08:00:00";"01.05.2026";"*4521";"OK";"11500,00";"RUB";"11500,00";"RUB";"";"Зарплата";"";"Зачисление зарплаты";"0,00";"0,00";"11500,00"
"01.05.2026 09:30:15";"01.05.2026";"*7890";"OK";"-1300,00";"RUB";"-1300,00";"RUB";"13,00";"Супермаркеты";"5411";"Пятёрочка";"13,00";"0,00";"-1300,00"
"01.05.2026 11:05:42";"01.05.2026";"*3456";"OK";"-210,00";"RUB";"-210,00";"RUB";"2,00";"Фастфуд";"5814";"Додо Пицца";"2,00";"0,00";"-210,00"
"01.05.2026 12:50:18";"01.05.2026";"*4521";"OK";"-680,00";"RUB";"-680,00";"RUB";"6,00";"Рестораны";"5812";"IL Патио";"6,00";"0,00";"-680,00"
"01.05.2026 14:25:33";"01.05.2026";"*7890";"OK";"-95,00";"RUB";"-95,00";"RUB";"";"Местный транспорт";"4111";;"0,00";"0,00";"-95,00"
"01.05.2026 16:10:00";"01.05.2026";"*4521";"OK";"-10000,00";"RUB";"-10000,00";"RUB";"";"Инвестиции";"";"Пополнение брокерского счета";"0,00";"0,00";"-10000,00"
"01.05.2026 18:05:27";"01.05.2026";"*3456";"OK";"-490,00";"RUB";"-490,00";"RUB";"4,00";"Цифровые товары";"5816";"App Store";"4,00";"0,00";"-490,00"
"01.05.2026 20:30:11";"01.05.2026";"*7890";"OK";"-310,00";"RUB";"-310,00";"RUB";"3,00";"Заправки";"5541";"Газпромнефть";"3,00";"0,00";"-310,00"
"02.05.2026 09:15:44";"02.05.2026";"*4521";"OK";"3000,00";"RUB";"3000,00";"RUB";"";"Переводы";"";"Иван М.";"0,00";"0,00";"3000,00"
"02.05.2026 10:45:00";"02.05.2026";"*3456";"OK";"-1600,00";"RUB";"-1600,00";"RUB";"16,00";"Экосистема Яндекс";"3990";"Яндекс.Такси";"16,00";"0,00";"-1600,00"
"02.05.2026 12:10:33";"02.05.2026";"*7890";"OK";"-240,00";"RUB";"-240,00";"RUB";"2,00";"Фастфуд";"5814";"Subway";"2,00";"0,00";"-240,00"
"02.05.2026 14:25:18";"02.05.2026";"*4521";"OK";"-85,00";"RUB";"-85,00";"RUB";"";"Местный транспорт";"4111";"Московский метрополитен";"0,00";"0,00";"-85,00"
"02.05.2026 16:40:05";"02.05.2026";"*3456";"OK";"-3750,00";"RUB";"-3750,00";"RUB";"37,00";"Авиабилеты";"3001";"S7 Airlines";"37,00";"0,00";"-3750,00"
"02.05.2026 18:15:22";"02.05.2026";"*4521";"OK";"-640,00";"RUB";"-640,00";"RUB";"6,00";"Рестораны";"5812";"Тануки";"6,00";"0,00";"-640,00"
"02.05.2026 20:00:00";"02.05.2026";"";"OK";"32,18";"RUB";"32,18";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"32,18"
"03.05.2026 10:30:00";"03.05.2026";"*4521";"OK";"-1400,00";"RUB";"-1400,00";"RUB";"14,00";"Ж/д билеты";"4111";"РЖД";"14,00";"0,00";"-1400,00"
"03.05.2026 12:15:18";"03.05.2026";"*7890";"OK";"-210,00";"RUB";"-210,00";"RUB";"2,00";"Фастфуд";"5814";"Burger King";"2,00";"0,00";"-210,00"
"03.05.2026 14:50:33";"03.05.2026";"*3456";"OK";"-830,00";"RUB";"-830,00";"RUB";"8,00";"Одежда и обувь онлайн";"5651";"Lamoda";"8,00";"0,00";"-830,00"
"03.05.2026 16:20:07";"03.05.2026";"*4521";"OK";"1500,00";"RUB";"1500,00";"RUB";"";"Переводы";"";"Вывод с брокерского счета";"0,00";"0,00";"1500,00"
"03.05.2026 18:05:44";"03.05.2026";"*7890";"OK";"-185,00";"RUB";"-185,00";"RUB";"1,00";"Различные товары";"5311";"OZON";"1,00";"0,00";"-185,00"
"03.05.2026 20:10:30";"03.05.2026";"*3456";"OK";"-55,00";"RUB";"-55,00";"RUB";"";"Местный транспорт";"4111";"Мосгортранс";"0,00";"0,00";"-55,00"
